slug,kind,without,with_role,allowance,note
c-7006,名称独占（技能検定）,2級かわらぶき技能士を名乗れない。,国家検定に合格した2級かわらぶき技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-7008,名称独占（技能検定）,2級とび技能士を名乗れない。,国家検定に合格した2級とび技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-7019,名称独占（技能検定）,2級タイル張り技能士を名乗れない。,国家検定に合格した2級タイル張り技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-7016,名称独占（技能検定）,2級ブロック建築技能士を名乗れない。,国家検定に合格した2級ブロック建築技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-7021,名称独占（技能検定）,2級型枠施工技能士を名乗れない。,国家検定に合格した2級型枠施工技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-7011,名称独占（技能検定）,2級左官技能士を名乗れない。,国家検定に合格した2級左官技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-7002,名称独占（技能検定）,2級建築大工技能士を名乗れない。,国家検定に合格した2級建築大工技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-7014,名称独占（技能検定）,2級築炉技能士を名乗れない。,国家検定に合格した2級築炉技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-7024,名称独占（技能検定）,2級鉄筋施工技能士を名乗れない。,国家検定に合格した2級鉄筋施工技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-7009,名称独占（技能検定）,3級とび技能士を名乗れない。,国家検定に合格した3級とび技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-7017,名称独占（技能検定）,エーエルシーパネル施工技能士を名乗れない。,国家検定に合格したエーエルシーパネル施工技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-7030,業務独占,コンクリート橋架設等作業主任者になれず、その作業の作業主任者を選任できない。,コンクリート橋架設等作業主任者として作業の直接指揮・安全装置の点検など安全管理を担える。,,独占業務（作業主任者の選任）は労働安全衛生法に基づく。
c-7029,業務独占,コンクリート造の工作物の解体等作業主任者になれず、その作業の作業主任者を選任できない。,コンクリート造の工作物の解体等作業主任者として作業の直接指揮・安全装置の点検など安全管理を担える。,,独占業務（作業主任者の選任）は労働安全衛生法に基づく。
c-7025,業務独占,建築物等の鉄骨の組立て等作業主任者になれず、その作業の作業主任者を選任できない。,建築物等の鉄骨の組立て等作業主任者として作業の直接指揮・安全装置の点検など安全管理を担える。,,独占業務（作業主任者の選任）は労働安全衛生法に基づく。
c-7003,業務独占,木造建築物の組立て等作業主任者になれず、その作業の作業主任者を選任できない。,木造建築物の組立て等作業主任者として作業の直接指揮・安全装置の点検など安全管理を担える。,,独占業務（作業主任者の選任）は労働安全衛生法に基づく。
c-7004,名称独占（技能検定）,枠組壁建築技能士を名乗れない。,国家検定に合格した枠組壁建築技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-7031,業務独占,鋼橋架設等作業主任者になれず、その作業の作業主任者を選任できない。,鋼橋架設等作業主任者として作業の直接指揮・安全装置の点検など安全管理を担える。,,独占業務（作業主任者の選任）は労働安全衛生法に基づく。
c-7120,名称独占（技能検定）,1級カーテンウォール施工技能士を名乗れない。,国家検定に合格した1級カーテンウォール施工技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-7127,名称独占（技能検定）,1級ガラス用フィルム施工技能士を名乗れない。,国家検定に合格した1級ガラス用フィルム施工技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-7122,名称独占（技能検定）,1級サッシ施工技能士を名乗れない。,国家検定に合格した1級サッシ施工技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-7115,名称独占（技能検定）,1級内装仕上げ施工技能士を名乗れない。,国家検定に合格した1級内装仕上げ施工技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-7103,名称独占（技能検定）,1級冷凍空気調和機器施工技能士を名乗れない。,国家検定に合格した1級冷凍空気調和機器施工技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-7113,名称独占（技能検定）,1級厨房設備施工技能士を名乗れない。,国家検定に合格した1級厨房設備施工技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-7118,名称独占（技能検定）,1級熱絶縁施工技能士を名乗れない。,国家検定に合格した1級熱絶縁施工技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-7124,名称独占（技能検定）,1級自動ドア施工技能士を名乗れない。,国家検定に合格した1級自動ドア施工技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-7107,名称独占（技能検定）,1級配管技能士を名乗れない。,国家検定に合格した1級配管技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-7121,名称独占（技能検定）,2級カーテンウォール施工技能士を名乗れない。,国家検定に合格した2級カーテンウォール施工技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-7128,名称独占（技能検定）,2級ガラス用フィルム施工技能士を名乗れない。,国家検定に合格した2級ガラス用フィルム施工技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-7123,名称独占（技能検定）,2級サッシ施工技能士を名乗れない。,国家検定に合格した2級サッシ施工技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-7116,名称独占（技能検定）,2級内装仕上げ施工技能士を名乗れない。,国家検定に合格した2級内装仕上げ施工技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-7104,名称独占（技能検定）,2級冷凍空気調和機器施工技能士を名乗れない。,国家検定に合格した2級冷凍空気調和機器施工技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-7114,名称独占（技能検定）,2級厨房設備施工技能士を名乗れない。,国家検定に合格した2級厨房設備施工技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-7119,名称独占（技能検定）,2級熱絶縁施工技能士を名乗れない。,国家検定に合格した2級熱絶縁施工技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-7125,名称独占（技能検定）,2級自動ドア施工技能士を名乗れない。,国家検定に合格した2級自動ドア施工技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-7108,名称独占（技能検定）,2級配管技能士を名乗れない。,国家検定に合格した2級配管技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-7117,名称独占（技能検定）,3級内装仕上げ施工技能士を名乗れない。,国家検定に合格した3級内装仕上げ施工技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-7109,名称独占（技能検定）,3級配管技能士を名乗れない。,国家検定に合格した3級配管技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-7126,名称独占（技能検定）,バルコニー施工技能士を名乗れない。,国家検定に合格したバルコニー施工技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-2702,国家資格,この資格がないと、司書補としての専門性を公的に示しにくい。,司書補として国家資格の専門性を証明でき、就職・実務で評価される。,,個別の独占業務・必置の有無は各根拠法令・公式情報をご確認ください。
c-2704,国家資格,この資格がないと、学芸員補としての専門性を公的に示しにくい。,学芸員補として国家資格の専門性を証明でき、就職・実務で評価される。,,個別の独占業務・必置の有無は各根拠法令・公式情報をご確認ください。
c-2802,国家資格,この資格がないと、職業訓練指導員免許としての専門性を公的に示しにくい。,職業訓練指導員免許として国家資格の専門性を証明でき、就職・実務で評価される。,,個別の独占業務・必置の有無は各根拠法令・公式情報をご確認ください。
c-2610,国家資格,この資格がないと、社会教育主事としての専門性を公的に示しにくい。,社会教育主事として国家資格の専門性を証明でき、就職・実務で評価される。,,個別の独占業務・必置の有無は各根拠法令・公式情報をご確認ください。
c-9029,民間資格,この資格がないと、この分野の専門知識・スキルを客観的に示しにくい。,ニュース時事能力検定として専門知識・スキルを示せ、関連分野の就職・実務で評価される。,,業務独占・必置ではない（民間資格）。
c-9027,民間資格,この資格がないと、この分野の専門知識・スキルを客観的に示しにくい。,世界遺産検定として専門知識・スキルを示せ、関連分野の就職・実務で評価される。,,業務独占・必置ではない（民間資格）。
c-9016,国家資格,この資格がないと、登録日本語教員としての専門性を公的に示しにくい。,登録日本語教員として国家資格の専門性を証明でき、就職・実務で評価される。,,個別の独占業務・必置の有無は各根拠法令・公式情報をご確認ください。
c-6625,名称独占（技能検定）,1級テクニカルイラストレーション技能士を名乗れない。,国家検定に合格した1級テクニカルイラストレーション技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-6609,名称独占（技能検定）,1級写真技能士を名乗れない。,国家検定に合格した1級写真技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-6603,名称独占（技能検定）,1級塗装技能士を名乗れない。,国家検定に合格した1級塗装技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-6635,名称独占（技能検定）,1級工業包装技能士を名乗れない。,国家検定に合格した1級工業包装技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-6606,名称独占（技能検定）,1級広告美術仕上げ技能士を名乗れない。,国家検定に合格した1級広告美術仕上げ技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-6630,名称独占（技能検定）,1級機械・プラント製図技能士を名乗れない。,国家検定に合格した1級機械・プラント製図技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-6601,名称独占（技能検定）,1級表装技能士を名乗れない。,国家検定に合格した1級表装技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-6632,名称独占（技能検定）,1級電気製図技能士を名乗れない。,国家検定に合格した1級電気製図技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-6626,名称独占（技能検定）,2級テクニカルイラストレーション技能士を名乗れない。,国家検定に合格した2級テクニカルイラストレーション技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-6610,名称独占（技能検定）,2級写真技能士を名乗れない。,国家検定に合格した2級写真技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-6604,名称独占（技能検定）,2級塗装技能士を名乗れない。,国家検定に合格した2級塗装技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-6636,名称独占（技能検定）,2級工業包装技能士を名乗れない。,国家検定に合格した2級工業包装技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-6607,名称独占（技能検定）,2級広告美術仕上げ技能士を名乗れない。,国家検定に合格した2級広告美術仕上げ技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-6631,名称独占（技能検定）,2級機械・プラント製図技能士を名乗れない。,国家検定に合格した2級機械・プラント製図技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-6602,名称独占（技能検定）,2級表装技能士を名乗れない。,国家検定に合格した2級表装技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-6633,名称独占（技能検定）,2級電気製図技能士を名乗れない。,国家検定に合格した2級電気製図技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-6627,名称独占（技能検定）,3級テクニカルイラストレーション技能士を名乗れない。,国家検定に合格した3級テクニカルイラストレーション技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-6611,名称独占（技能検定）,3級写真技能士を名乗れない。,国家検定に合格した3級写真技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-6608,名称独占（技能検定）,3級広告美術仕上げ技能士を名乗れない。,国家検定に合格した3級広告美術仕上げ技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-6634,名称独占（技能検定）,3級電気製図技能士を名乗れない。,国家検定に合格した3級電気製図技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-6605,名称独占（技能検定）,塗料調色技能士を名乗れない。,国家検定に合格した塗料調色技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-6402,名称独占（技能検定）,1級プラスチック成形技能士を名乗れない。,国家検定に合格した1級プラスチック成形技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-6405,名称独占（技能検定）,1級強化プラスチック成形技能士を名乗れない。,国家検定に合格した1級強化プラスチック成形技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-6403,名称独占（技能検定）,2級プラスチック成形技能士を名乗れない。,国家検定に合格した2級プラスチック成形技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-6406,名称独占（技能検定）,2級強化プラスチック成形技能士を名乗れない。,国家検定に合格した2級強化プラスチック成形技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-6404,名称独占（技能検定）,3級プラスチック成形技能士を名乗れない。,国家検定に合格した3級プラスチック成形技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-6401,名称独占（技能検定）,特級プラスチック成形技能士を名乗れない。,国家検定に合格した特級プラスチック成形技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-5609,名称独占（技能検定）,1級内燃機関組立て技能士を名乗れない。,国家検定に合格した1級内燃機関組立て技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-5621,名称独占（技能検定）,1級建設機械整備技能士を名乗れない。,国家検定に合格した1級建設機械整備技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-5602,名称独占（技能検定）,1級機械保全技能士を名乗れない。,国家検定に合格した1級機械保全技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-5605,名称独占（技能検定）,1級機械検査技能士を名乗れない。,国家検定に合格した1級機械検査技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-5616,名称独占（技能検定）,1級油圧装置調整技能士を名乗れない。,国家検定に合格した1級油圧装置調整技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-5613,名称独占（技能検定）,1級空気圧装置組立て技能士を名乗れない。,国家検定に合格した1級空気圧装置組立て技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-5618,名称独占（技能検定）,1級縫製機械整備技能士を名乗れない。,国家検定に合格した1級縫製機械整備技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-5623,名称独占（技能検定）,1級農業機械整備技能士を名乗れない。,国家検定に合格した1級農業機械整備技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-5610,名称独占（技能検定）,2級内燃機関組立て技能士を名乗れない。,国家検定に合格した2級内燃機関組立て技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-5622,名称独占（技能検定）,2級建設機械整備技能士を名乗れない。,国家検定に合格した2級建設機械整備技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-5603,名称独占（技能検定）,2級機械保全技能士を名乗れない。,国家検定に合格した2級機械保全技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-5606,名称独占（技能検定）,2級機械検査技能士を名乗れない。,国家検定に合格した2級機械検査技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-5617,名称独占（技能検定）,2級油圧装置調整技能士を名乗れない。,国家検定に合格した2級油圧装置調整技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-5614,名称独占（技能検定）,2級空気圧装置組立て技能士を名乗れない。,国家検定に合格した2級空気圧装置組立て技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-5619,名称独占（技能検定）,2級縫製機械整備技能士を名乗れない。,国家検定に合格した2級縫製機械整備技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-5624,名称独占（技能検定）,2級農業機械整備技能士を名乗れない。,国家検定に合格した2級農業機械整備技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-5611,名称独占（技能検定）,3級内燃機関組立て技能士を名乗れない。,国家検定に合格した3級内燃機関組立て技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-5607,名称独占（技能検定）,3級機械検査技能士を名乗れない。,国家検定に合格した3級機械検査技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-5608,名称独占（技能検定）,特級内燃機関組立て技能士を名乗れない。,国家検定に合格した特級内燃機関組立て技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-5620,名称独占（技能検定）,特級建設機械整備技能士を名乗れない。,国家検定に合格した特級建設機械整備技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-5601,名称独占（技能検定）,特級機械保全技能士を名乗れない。,国家検定に合格した特級機械保全技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-5604,名称独占（技能検定）,特級機械検査技能士を名乗れない。,国家検定に合格した特級機械検査技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-5615,名称独占（技能検定）,特級油圧装置調整技能士を名乗れない。,国家検定に合格した特級油圧装置調整技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-5612,名称独占（技能検定）,特級空気圧装置組立て技能士を名乗れない。,国家検定に合格した特級空気圧装置組立て技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-5204,名称独占（技能検定）,1級化学分析技能士を名乗れない。,国家検定に合格した1級化学分析技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-5205,名称独占（技能検定）,2級化学分析技能士を名乗れない。,国家検定に合格した2級化学分析技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-5209,国家資格,この資格がないと、高圧ガス移動監視者としての専門性を公的に示しにくい。,高圧ガス移動監視者として国家資格の専門性を証明でき、就職・実務で評価される。,,個別の独占業務・必置の有無は各根拠法令・公式情報をご確認ください。
c-5211,国家資格,この資格がないと、高圧ガス移動監視者(液化天然ガス)としての専門性を公的に示しにくい。,高圧ガス移動監視者(液化天然ガス)として国家資格の専門性を証明でき、就職・実務で評価される。,,個別の独占業務・必置の有無は各根拠法令・公式情報をご確認ください。
c-6301,名称独占（技能検定）,1級プリプレス技能士(旧:製版技能士)を名乗れない。,国家検定に合格した1級プリプレス技能士(旧:製版技能士)として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-6303,名称独占（技能検定）,1級印刷技能士を名乗れない。,国家検定に合格した1級印刷技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-6305,名称独占（技能検定）,1級製本技能士を名乗れない。,国家検定に合格した1級製本技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-6302,名称独占（技能検定）,2級プリプレス技能士(旧:製版技能士)を名乗れない。,国家検定に合格した2級プリプレス技能士(旧:製版技能士)として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-6304,名称独占（技能検定）,2級印刷技能士を名乗れない。,国家検定に合格した2級印刷技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-6306,名称独占（技能検定）,2級製本技能士を名乗れない。,国家検定に合格した2級製本技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-6206,名称独占（技能検定）,1級家具製作技能士を名乗れない。,国家検定に合格した1級家具製作技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-6208,名称独占（技能検定）,1級建具製作技能士を名乗れない。,国家検定に合格した1級建具製作技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-6202,名称独占（技能検定）,1級機械木工技能士を名乗れない。,国家検定に合格した1級機械木工技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-6214,名称独占（技能検定）,1級畳製作技能士を名乗れない。,国家検定に合格した1級畳製作技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-6212,名称独占（技能検定）,1級紙器・段ボール箱製造技能士を名乗れない。,国家検定に合格した1級紙器・段ボール箱製造技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-6207,名称独占（技能検定）,2級家具製作技能士を名乗れない。,国家検定に合格した2級家具製作技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-6209,名称独占（技能検定）,2級建具製作技能士を名乗れない。,国家検定に合格した2級建具製作技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-6203,名称独占（技能検定）,2級機械木工技能士を名乗れない。,国家検定に合格した2級機械木工技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-6215,名称独占（技能検定）,2級畳製作技能士を名乗れない。,国家検定に合格した2級畳製作技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-6213,名称独占（技能検定）,2級紙器・段ボール箱製造技能士を名乗れない。,国家検定に合格した2級紙器・段ボール箱製造技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-6201,業務独占,木材加工用機械作業主任者になれず、その作業の作業主任者を選任できない。,木材加工用機械作業主任者として作業の直接指揮・安全装置の点検など安全管理を担える。,,独占業務（作業主任者の選任）は労働安全衛生法に基づく。
c-5307,名称独占（技能検定）,1級石材施工技能士を名乗れない。,国家検定に合格した1級石材施工技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-5303,名称独占（技能検定）,1級陶磁器製造技能士を名乗れない。,国家検定に合格した1級陶磁器製造技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-5308,名称独占（技能検定）,2級石材施工技能士を名乗れない。,国家検定に合格した2級石材施工技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-5304,名称独占（技能検定）,2級陶磁器製造技能士を名乗れない。,国家検定に合格した2級陶磁器製造技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-6103,名称独占（技能検定）,1級ニット製品製造技能士を名乗れない。,国家検定に合格した1級ニット製品製造技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-6111,名称独占（技能検定）,1級和裁技能士を名乗れない。,国家検定に合格した1級和裁技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-6106,名称独占（技能検定）,1級婦人子供服製造技能士を名乗れない。,国家検定に合格した1級婦人子供服製造技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-6116,名称独占（技能検定）,1級寝具製作技能士を名乗れない。,国家検定に合格した1級寝具製作技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-6114,名称独占（技能検定）,1級布はく縫製技能士を名乗れない。,国家検定に合格した1級布はく縫製技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-6118,名称独占（技能検定）,1級帆布製品製造技能士を名乗れない。,国家検定に合格した1級帆布製品製造技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-6101,名称独占（技能検定）,1級染色技能士を名乗れない。,国家検定に合格した1級染色技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-6109,名称独占（技能検定）,1級紳士服製造技能士を名乗れない。,国家検定に合格した1級紳士服製造技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-6104,名称独占（技能検定）,2級ニット製品製造技能士を名乗れない。,国家検定に合格した2級ニット製品製造技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-6112,名称独占（技能検定）,2級和裁技能士を名乗れない。,国家検定に合格した2級和裁技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-6107,名称独占（技能検定）,2級婦人子供服製造技能士を名乗れない。,国家検定に合格した2級婦人子供服製造技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-6117,名称独占（技能検定）,2級寝具製作技能士を名乗れない。,国家検定に合格した2級寝具製作技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-6115,名称独占（技能検定）,2級布はく縫製技能士を名乗れない。,国家検定に合格した2級布はく縫製技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-6119,名称独占（技能検定）,2級帆布製品製造技能士を名乗れない。,国家検定に合格した2級帆布製品製造技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-6102,名称独占（技能検定）,2級染色技能士を名乗れない。,国家検定に合格した2級染色技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
